642,助
643,仲
644,忠
645,沖
646,保
647,呆
648,守
649,団
650,対
651,村
652,才
653,財
654,材
655,沈
656,枕
657,丈
658,杖
659,偉
660,緯
661,衛
662,韓
663,違
664,抱
665,砲
666,泡
667,丹
668,舟
669,船
670,舶
671,般
672,搬
673,盤
674,歯
675,冷
676,齢
677,少
678,砂
679,歩
680,渉
681,省
682,相
683,想
684,称
685,弥
686,互
687,務
688,柔
689,軟
690,軌
691,軒
692,軸
693,較
694,庫
695,蔵
696,倉
697,創
698,告
699,造
700,衣
701,依
702,袋
703,褒
704,裏
705,表
706,現
707,著
708,制
709,製
710,初
711,裸
712,難
713,准
714,準
715,備
716,死
717,葬
718,列
719,烈
720,裂
721,例
722,刑
723,型
724,研
725,厄
726,危
727,範
728,怨
729,苑
730,宛
731,碗
732,腕
733,却
734,脚
735,犯
736,狂
737,獄
738,非
739,排
740,俳
741,罪
742,罰
743,伴
744,判
745,評
746,批
747,帥
748,師
749,座
750,坐
751,卒
752,率
753,傘
754,笠
755,星
756,汁
757,斗
758,料
759,科
760,然
761,燃
762,黙
763,獣
764,猟
765,漁
766,狩
767,猛
768,煙
769,焼
770,暁
771,旧
772,児
773,亦
774,赤
775,変
776,蛮
777,恋
778,愛
779,憂
780,優
781,栗
782,票
783,標
784,漂
785,遷
786,各
787,客
788,路
789,格
790,絡
791,略
792,閣
793,落
794,南
795,西
796,酉
797,酒
798,洒
799,配
800,酸
801,猶
802,尊
803,遵
804,導
805,敬
806,警
807,驚
808,散
809,敢
810,厳
811,仏
812,払
813,拡
814,可
815,何
816,苛
817,荷
818,河
819,阿
820,司
821,伺
822,詞
823,飼
824,冊
825,嗣
826,覗
827,歌
828,唄
829,負
830,敗
831,責
832,積
833,債
834,漬
835,紡
836,績
837,具
838,真
839,直
840,植
841,殖
842,値
843,置
844,県
845,州
846,洲
847,接
848,継
849,断
850,応
851,床
852,麻
853,歴
854,暦
855,臨
856,園
857,遠
858,与
859,写
860,移
861,卸
862,御
863,複
864,腹
865,復
866,往
867,柱
868,征
869,従
870,徒
871,縦
872,延
873,伸
874,紳
875,縮
876,誕
877,廷
878,庭
879,艇
880,展
881,殿
882,異
883,翼
884,累
885,塁
886,吏
887,使
888,史
889,更
890,便
891,硬
892,能
893,態
894,熊
895,罷
896,羅
897,雲
898,曇
899,雪
900,雷
901,零
902,震
903,振
904,久
905,賑
906,丘
907,兵
908,岳
909,浜
910,舎
911,再
912,虎
913,寅
914,演
915,黄
916,横
917,構
918,講
919,購
920,溝
921,仮
922,片
923,版
924,板
925,販
926,義
927,議
928,儀
929,犠
930,牲
931,旨
932,指
933,揮
934,輝
935,刺
936,策
937,差
938,着
939,看
940,到
941,倒
942,論
943,倫
944,輪
945,輸
946,諭
947,愉
948,癒
949,台
950,治
951,冶
952,療
953,僚
954,瞭
955,寮
956,始
957,終
958,了
959,承
960,蒸
961,舞
962,隣
963,瞬
964,夢
965,枝
966,技
967,伎
968,岐
969,峠
970,阜
971,急
972,争
973,情
974,清
975,晴
976,精
977,請
978,静
979,浄
980,算
981,答
982,符
983,博
984,縛
985,簿
986,薄
987,采
988,菜
989,採
990,彩
991,杉
992,街
993,術
994,述
995,余
996,除
997,徐
998,叙
999,斜
1000,途
1001,塗
1002,漆
1003,仙
1004,垂
1005,乗
1006,兼
1007,剰
1008,睡
1009,眠
1010,郵
1011,錘
1012,華
1013,侵
1014,浸
1015,寝
1016,掃
1017,婦
1018,帰
1019,戻
1020,涙
1021,射
1022,謝
1023,討
1024,訂
1025,打
1026,撃
1027,拭
1028,試
1029,検
1030,験
1031,険
1032,倹
1033,剣
1034,谷
1035,欲
1036,浴
1037,容
1038,溶
1039,俗
1040,裕
1041,寛
1042,甘
1043,紺
1044,紅
1045,攻
1046,功
1047,巧
1048,朽
1049,枯
1050,汚
1051,升
1052,弁
1053,昇
1054,登
1055,澄
1056,充
1057,銃
1058,統
1059,流
1060,硫
1061,盲
1062,忘
1063,忙
1064,荒
1065,慌
1066,望
1067,希
1068,稀
1069,括
1070,拘
1071,拾
1072,捨
1073,孤
1074,弧
1075,弾
1076,禅
1077,系
1078,係
1079,孫
1080,懸
1081,偏
1082,遍
1083,編
1084,篇
1085,普
1086,譜
1087,職
1088,織
1089,識
1090,殉
1091,退
1092,眼
1093,智
1094,仁
1095,忍
1096,認
1097,求
1098,救
1099,球
1100,屯
1101,純
1102,鈍
1103,召
1104,招
1105,沼
1106,紹
1107,詔
1108,勅
1109,昭
1110,照
1111,超
1112,越
1113,趣
1114,赴
1115,訃
1116,朴
1117,掛
1118,摘
1119,滴
1120,嫡
1121,適
1122,敵
1123,授
1124,援
1125,媛
1126,緩
1127,暖
1128,観
1129,勧
1130,権
1131,歓
1132,鶴
1133,確
1134,慢
1135,漫
1136,卯
1137,抑
1138,仰
1139,迎
1140,柳
1141,卵
1142,疎
1143,速
1144,遅
1145,辻
1146,迅
1147,加
1148,減
1149,滅
1150,威
1151,嚇
1152,或
1153,惑
1154,域
1155,収
1156,納
1157,献
1158,貢
1159,貪
1160,貰
1161,貧
1162,賃
1163,貸
1164,貨
1165,資
1166,賛
1167,替
1168,潜
1169,貿
1170,留
1171,溜
1172,賀
1173,架
1174,染
1175,梨
1176,傑
1177,貴
1178,潰
1179,遺
1180,遣
1181,追
1182,迫
1183,泊
1184,伯
1185,拍
1186,弔
1187,沸
1188,煮
1189,費
1190,弟
1191,第
1192,剃
1193,兄
1194,只
1195,税
1196,鋭
1197,説
1198,脱
1199,閲
1200,祝
1201,況
1202,悦
1203,克
1204,競
1205,姉
1206,妹
1207,珠
1208,殊
1209,序
1210,秩
1211,迭
1212,喜
1213,善
1214,繕
1215,膳
1216,憾
1217,恨
1218,惜
1219,措
1220,借
1221,錯
1222,曽
1223,増
1224,層
1225,憎
1226,僧
1227,贈
1228,賄
1229,賂
1230,賦
1231,賊
1232,帯
1233,滞
1234,渋
1235,摂
1236,為
1237,偽
1238,参
1239,惨
1240,呂
1241,侶
1242,宮
1243,営
1244,蛍
1245,栄
1246,誉
1247,挙
1248,拳
1249,桜
1250,妥
1251,咲
1252,朕
1253,茎
1254,径
1255,怪
1256,軽
1257,経
1258,斉
1259,斎
1260,済
1261,剤
1262,剖
1263,陪
1264,培
1265,賠
1266,貼
1267,粘
1268,衡
1269,換
1270,喚
1271,絶
1272,免
1273,逸
1274,勉
1275,晩
1276,許
1277,象
1278,像
1279,彫
1280,景
1281,影
1282,撮
1283,就
1284,涼
1285,鯨
1286,隔
1287,融
1288,肖
1289,消
1290,硝
1291,梢
1292,削
1293,宵
1294,宴
1295,郷
1296,饗
1297,響
1298,城
1299,誠
1300,盛
1301,旺
1302,盆
1303,蓋
1304,盗
1305,盟
1306,塩
1307,傷
1308,揚
1309,暢
1310,陽
1311,陰
1312,隠
1313,穏
1314,穂
1315,稲
1316,愁
1317,裁
1318,載
1319,栽
1320,赦
1321,跡
1322,踪
1323,痕
1324,蹴
1325,踊
1326,踏
1327,躍
1328,濯
1329,奇
1330,寄
1331,騎
1332,椅
1333,崎
1334,埼
1335,岬
1336,模
1337,膜
1338,漠
1339,幕
1340,墓
1341,募
1342,暮
1343,慕
1344,添
1345,恭
1346,暴
1347,爆
1348,沿
1349,礎
1350,疑
1351,凝
1352,擬
1353,倣
1354,似
1355,俵
1356,俺
1357,庵
1358,僕
1359,撲
1360,叩
1361,伐
1362,閥
1363,闘
1364,闇
1365,閑
1366,脈
1367,派
1368,缶
1369,揺
1370,謡
1371,遥
1372,陶
1373,陳
1374,陣
1375,陥
1376,隆
1377,降
1378,峰
1379,逢
1380,縫
1381,蜂
1382,蜜
1383,密
1384,秘
1385,欧
1386,枢
1387,殴
1388,駆
1389,馳
1390,騒
1391,旭
1392,旦
1393,但
1394,担
1395,亘
1396,恒
1397,垣
1398,宣
1399,喧
1400,嘩
1401,唾
1402,壷
1403,坪
1404,畔
1405,衆
1406,伊
1407,君
1408,群
1409,郡
1410,那
1411,邦
1412,郊
1413,効
1414,絞
1415,搾
1416,紋
1417,菊
1418,帝
1419,締
1420,諦
1421,享
1422,郭
1423,亭
1424,停
1425,昆
1426,混
1427,皆
1428,楷
1429,諧
1430,階
1431,陛
1432,陸
1433,睦
1434,勢
1435,熱
1436,熟
1437,塾
1438,陵
1439,菱
1440,俊
1441,唆
1442,筈
1443,箸
1444,暑
1445,署
1446,曙
1447,賭
1448,諸
1449,儲
1450,緒
1451,翁
1452,婆
1453,姿
1454,恣
1455,妄
1456,萎
1457,妻
1458,凄
1459,章
1460,彰
1461,障
1462,辛
1463,宰
1464,辣
1465,辞
1466,壁
1467,璧
1468,癖
1469,避
1470,幸
1471,服
1472,報
1473,執
1474,摯
1475,達
1476,朗
1477,浪
1478,呉
1479,娯
1480,誤
1481,富
1482,副
1483,幅
1484,福
1485,祉
1486,禍
1487,渦
1488,鍋
1489,蘭
1490,欄
1491,潤
1492,淵
1493,滑
1494,稽
1495,肩
1496,脅
1497,肯
1498,双
1499,江
1500,湾
1501,港
1502,選
1503,択
1504,沢
1505,訳
1506,釈
1507,敷
1508,傲
1509,贅
1510,審
1511,藩
1512,翻
1513,翔
1514,査
1515,租
1516,粗
1517,阻
1518,狙
1519,宜
1520,畳
1521,甲
1522,乙
1523,丙
1524,柄
1525,押
1526,抽
1527,捜
1528,届
1529,宙
1530,笛
1531,袖
1532,襟
1533,衿
1534,裾
1535,据
1536,握
1537,揃
1538,撫
1539,託
1540,宅
1541,詫
1542,宇
1543,芋
1544,寿
1545,鋳
1546,銘
1547,鏡
1548,境
1549,環
1550,還
1551,盾
1552,循
1553,巡
1554,這
1555,逓
1556,息
1557,憩
1558,鼻
1559,孔
1560,臭
1561,嗅
1562,奥
1563,尖
1564,突
1565,窒
1566,窃
1567,衝
1568,契
1569,喫
1570,潔
1571,侮
1572,梅
1573,悔
1574,敏
1575,繁
1576,繋
1577,茂
1578,橋
1579,矯
1580,稿
1581,縞
1582,箋
1583,残
1584,桟
1585,銭
1586,践
1587,浅
1588,洩
1589,壮
1590,荘
1591,装
1592,冥
1593,暗
1594,韻
1595,損
1596,捕
1597,挿
1598,補
1599,浦
1600,哺
1601,舗
1602,掴
1603,捉
1604,促
1605,筆
1606,津
1607,律
1608,逮
1609,建
1610,健
1611,康
1612,庸
1613,粛
1614,繍
1615,唐
1616,糖
1617,粧
1618,糧
1619,粉
1620,紛
1621,糾
1622,粋
1623,砕
1624,枠
1625,酔
1626,醒
1627,酬
1628,酷
1629,凡
1630,凧
1631,帆
1632,汎
1633,恐
1634,怖
1635,築
1636,尋
1637,訊
1638,諮
1639,抗
1640,航
1641,坑
1642,拝
1643,耕
1644,耗
1645,崇
1646,灰
1647,炭
1648,岸
1649,岩
1650,崩
1651,嵐
1652,崖
1653,催
1654,焦
1655,礁
1656,奮
1657,奪
1658,隻
1659,獲
1660,穫
1661,護
1662,譲
1663,嬢
1664,醸
1665,壌
1666,壊
1667,懐
1668,徳
1669,聴
1670,恥
1671,羞
1672,爵
1673,侯
1674,喉
1675,候
1676,修
1677,悠
1678,是
1679,提
1680,堤
1681,題
1682,匙
1683,冒
1684,昌
1685,唱
1686,晶
1687,帽
1688,棟
1689,凍
1690,氷
1691,永
1692,泳
1693,詠
1694,札
1695,枚
1696,杯
1697,析
1698,折
1699,挫
1700,捻
1701,誓
1702,逝
1703,哲
1704,斬
1705,漸
1706,暫
1707,斥
1708,訴
1709,訟
1710,究
1711,窮
1712,極
1713,函
1714,探
1715,深
1716,慄
1717,惧
1718,慎
1719,鎮
1720,塡
1721,婚
1722,囚
1723,困
1724,梱
1725,因
1726,姻
1727,咽
1728,恩
1729,菌
1730,漢
1731,嘆
1732,勤
1733,謹
1734,僅
1735,索
1736,牽
1737,牢
1738,啓
1739,庶
1740,遮
1741,燕
1742,雀
1743,劣
1744,抄
1745,秒
1746,妙
1747,沙
1748,汰
1749,煎
1750,炒
1751,炊
1752,焚
1753,薪
1754,乃
1755,之
1756,此
1757,其
1758,乏
1759,芝
1760,及
1761,扱
1762,級
1763,吸
1764,吹
1765,呼
1766,吐
1767,叶
1768,叱
1769,叫
1770,吟
1771,含
1772,琴
1773,迷
1774,謎
1775,逆
1776,遡
1777,塑
1778,勲
1779,薫
1780,芳
1781,香
1782,秀
1783,誘
1784,拐
1785,透
1786,携
1787,雄
1788,雌
1789,些
1790,柴
1791,紫
1792,髪
1793,髭
1794,詐
1795,欺
1796,棋
1797,碁
1798,甚
1799,勘
1800,堪
1801,匹
1802,匠
1803,匿
1804,諾
